Date,unleaded,diesel,unleaded-wholesale,diesel-wholesale
2018-01-03,120.05,122.83,91.52,93.76
2018-01-04,118.44,120.25,93.77,93.52
2018-01-05,123.43,126.27,98.21,99.89
2018-01-06,129.37,132.31,100.28,102.3
2018-01-07,114.67,115.42,89.24,89.2
2018-01-08,128.94,131.93,102.63,101.35
2018-01-09,119.62,120.27,92.66,93.37
2018-01-10,130.62,134.5,102.66,107.79
2018-01-11,130.61,136.93,96.96,106.02
2018-01-12,120.65,123.16,92.33,95.12
2018-02-01,120.9,123.48,93.11,96.44
2018-02-02,122.33,125.03,93.85,95.65
2018-02-03,119.98,122.77,90.92,93.65
2018-02-04,108.15,107.76,85.49,82.83
2018-02-05,123.64,126.47,97.7,99.46
2018-02-06,116.28,117.2,88.31,87.65
2018-02-07,127.71,130.93,100.76,102.49
2018-02-08,129.11,132.05,102.68,102
2018-02-09,119.77,120.45,91.96,93.31
2018-02-10,130.48,134.55,103.05,108.6
2018-02-11,130.46,136.79,96.52,105.66
2018-02-12,120.75,123.22,92.51,94.81
2018-03-01,120.98,123.6,93.77,97.21
2018-03-02,120.1,122.29,93.82,93.52
2018-03-03,119.31,121.44,90.41,91.48
2018-03-04,120.55,123.19,94.25,95.96
2018-03-05,123.88,126.75,97.92,99.74
2018-03-06,116.18,117.05,88.47,87.75
2018-03-07,127.86,131.08,100.11,101.89
2018-03-08,129.08,132.03,102.63,102.34
2018-03-09,130.75,133.48,104.01,105.56
2018-03-10,130.9,134.86,102.42,108.55
2018-03-11,120.43,122.85,93.38,95.7
2018-03-12,124.05,133.37,91.04,100.32
2018-04-01,120.99,123.68,93.79,97.22
2018-04-02,120.2,122.31,92.91,93.25
2018-04-03,119.32,121.32,90.2,91.09
2018-04-04,120.59,123.27,93.75,95.54
2018-04-05,124.22,127.08,98.62,100.4
2018-04-06,129.18,132.35,99.78,101.95
2018-04-07,127.96,131.18,100.61,102.39
2018-04-08,116.55,117.6,90.98,90.78
2018-04-09,130.94,133.69,102.75,105.74
2018-04-10,130.91,135.11,102.34,108.75
2018-04-11,120.74,123.07,92.96,95.65
2018-04-12,123.89,133.04,91.9,100.85
2018-05-01,121.11,123.79,93.67,96.95
2018-05-02,122.29,125.01,94.29,95.81
2018-05-03,119.94,122.81,91.38,94.1
2018-05-04,120.73,123.37,94.22,95.76
